Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Jared Butler\butleja02,SG,21,UTA,37,293,12,0.522,0.568,0.096,1.9,10.1,6.2,25.6,2.2,2.1,18.2,23.7,,0,0.4,0.3,0.053,,-2.1,0.5,-1.6,0
Jimmy Butler\butleji01,SF,32,MIA,52,1752,23.8,0.582,0.13,0.547,6.3,13.7,10.1,27.1,2.5,1.6,10.2,26.7,,5.6,2.7,8.3,0.228,,4.6,2,6.5,3.7
Devontae Cacok\cacokde01,PF,25,SAS,11,92,24.3,0.688,0,0.269,7.9,33.5,20.5,7.7,3.6,6.3,6.4,14.2,,0.3,0.2,0.5,0.25,,2.2,4.4,6.5,0.2
Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,70,2116,11.9,0.55,0.504,0.196,2,10.3,6.2,9.2,1.8,0.9,9.3,18.5,,1,1.3,2.3,0.053,,-1.2,-0.6,-1.8,0.1
Facundo Campazzo\campafa01,PG,30,DEN,63,1173,11.2,0.506,0.649,0.268,2.3,8.7,5.6,24,2.6,1.8,16.9,14.7,,0.7,1.3,2.1,0.084,,-2,1.2,-0.8,0.4
Vlatko Čančar\cancavl01,PF,24,DEN,14,152,13.9,0.678,0.308,0.308,4.5,12.1,8.4,12,0.6,1.8,15.3,15.1,,0.3,0.1,0.4,0.123,,-0.1,-0.5,-0.6,0.1
Clint Capela\capelca01,C,27,ATL,66,1830,20.7,0.596,0.002,0.279,14.8,31.6,23.2,6.8,1.2,4.2,6.4,15.2,,4.7,2.3,7,0.185,,1.9,-0.2,1.7,1.7
Vernon Carey Jr.\careyve01,C,20,TOT,5,18,16.3,0.546,0,0.5,17.2,11.9,14.6,0,2.7,0,12,19.6,,0,0,0,0.095,,-2.9,-5.2,-8.1,0
Vernon Carey Jr.\careyve01,C,20,CHO,4,17,17.3,0.546,0,0.5,18.2,12.6,15.5,0,2.8,0,12,20.8,,0,0,0,0.101,,-2.7,-5.2,-7.9,0
Vernon Carey Jr.\careyve01,C,20,WAS,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.012,,-6.3,-5.8,-12.1,0
Jevon Carter\carteje01,PG,26,TOT,60,813,9.3,0.534,0.703,0.079,1.8,11.1,6.5,12.8,1.1,1.5,11.9,14.2,,0.4,0.5,0.9,0.055,,-1.8,-0.5,-2.3,-0.1
Jevon Carter\carteje01,PG,26,BRK,46,552,6.6,0.462,0.73,0.057,1.8,11.3,6.6,10.9,1.2,1.6,12.7,16,,-0.4,0.4,-0.1,-0.006,,-3.5,-1,-4.4,-0.3
Jevon Carter\carteje01,PG,26,MIL,14,261,15,0.752,0.618,0.145,1.7,10.7,6.3,16.9,0.9,1.1,9.3,10.6,,0.8,0.2,1,0.184,,1.8,0.4,2.2,0.3
Wendell Carter Jr.\cartewe01,C,22,ORL,61,1825,18.5,0.604,0.313,0.3,8,28.9,18.4,15.1,0.9,2.1,13.2,20.7,,2.8,2.3,5.1,0.134,,1.1,0.5,1.6,1.7
Alex Caruso\carusal01,SG,27,CHI,36,1011,12.5,0.551,0.476,0.313,3.2,11.2,7.3,17.9,3.1,1.2,16.9,13.9,,0.8,1.2,2,0.093,,-1.8,2.4,0.6,0.7
Willie Cauley-Stein\caulewi01,C,28,TOT,20,183,8.3,0.474,0.057,0.057,7.8,16.4,12.1,7.5,1.7,1.5,16.3,10.5,,0,0.3,0.3,0.066,,-4.1,1.1,-3.1,0
Willie Cauley-Stein\caulewi01,C,28,DAL,18,177,8.5,0.474,0.057,0.057,8,15.7,11.9,7.1,1.7,1.5,16.3,10.9,,0,0.3,0.2,0.064,,-4.1,0.9,-3.2,-0.1
Willie Cauley-Stein\caulewi01,C,28,PHI,2,6,4.2,,,,0,36.5,18.5,20.6,0,0,,0,,0,0,0,0.137,,-4.4,5.9,1.4,0
Ahmad Caver\caverah01,PG,25,IND,1,1,77,1,0,0,0,0,0,0,0,0,0,42.9,,0,0,0,1.221,,30.1,6.5,36.6,0
